path,line,end_line,zone,symbol,rule,severity,claim_type,confidence,evidence
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,18,133,analysis,main,large-function,medium,fact,high,function spans 116 lines
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,18,133,analysis,main,high-branch-density,medium,inference,medium,AST branch proxy=22
algorithm/analysis/annotation-analysis/scripts/01_analyze_dataset.py,10,10,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 01_analyze_dataset.py --root E:/DATASET/eveye --out ../results
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,22,62,analysis,analyze_h5,high-branch-density,medium,inference,medium,AST branch proxy=15
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,65,169,analysis,main,large-function,medium,fact,high,function spans 105 lines
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,65,169,analysis,main,high-branch-density,high,inference,medium,AST branch proxy=30
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,60,61,analysis,analyze_h5,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/02_analyze_labels.py,16,16,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 02_analyze_labels.py --root E:/DATASET/eveye --out ../results
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,41,98,analysis,parse_gaze,high-branch-density,medium,inference,medium,AST branch proxy=21
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,119,182,analysis,main,large-function,medium,fact,high,function spans 64 lines
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,119,182,analysis,main,high-branch-density,medium,inference,medium,AST branch proxy=18
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,52,61,analysis,parse_gaze,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,159,160,analysis,main,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,14,14,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 03_analyze_tobii_gaze.py --root E:/DATASET/eveye --out ../results
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,36,120,analysis,main,large-function,medium,fact,high,function spans 85 lines
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,36,120,analysis,main,high-branch-density,high,inference,medium,AST branch proxy=27
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,32,33,analysis,summarize_var,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,81,82,analysis,main,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,16,16,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 04_analyze_tracking_results.py --root E:/DATASET/eveye --out ../results
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,17,17,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 04_analyze_tracking_results.py --root E:/DATASET/eveye --out ../results --predict
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,39,193,analysis,main,large-function,high,fact,high,function spans 155 lines
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,39,193,analysis,main,high-branch-density,high,inference,medium,AST branch proxy=38
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,87,88,analysis,main,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,83,166,analysis,main,large-function,medium,fact,high,function spans 84 lines
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,83,166,analysis,main,high-branch-density,medium,inference,medium,AST branch proxy=16
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,19,19,analysis,<module>,hard-coded-absolute-path,high,fact,high,python 06_v2e_synth_check.py --root E:/DATASET/eveye --out ../results \
algorithm/analysis/annotation-analysis/scripts/evlib.py,85,129,analysis,events_summary,high-branch-density,medium,inference,medium,AST branch proxy=15
algorithm/analysis/annotation-analysis/scripts/evlib.py,250,251,analysis,load_mat_any,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/evlib.py,280,281,analysis,mask_stats,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/evlib.py,206,207,analysis,parse_via_csv,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/evlib.py,212,213,analysis,parse_via_csv,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/evlib.py,247,248,analysis,load_mat_any,broad-except,medium,fact,high,catches Exception
algorithm/analysis/annotation-analysis/scripts/run_all.py,5,5,analysis,<module>,hard-coded-absolute-path,high,fact,high,python run_all.py --root E:/DATASET/eveye --out ../results
algorithm/analysis/annotation-analysis/scripts/run_all.py,6,6,analysis,<module>,hard-coded-absolute-path,high,fact,high,python run_all.py --root E:/DATASET/eveye --out ../results --exact --predict
algorithm/analysis/annotation-analysis/scripts/run_all.py,7,7,analysis,<module>,hard-coded-absolute-path,high,fact,high,python run_all.py --root E:/DATASET/eveye --out ../results --max-users 3   # quick smoke
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,69,125,analysis,classify_session,high-branch-density,medium,inference,medium,AST branch proxy=19
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,128,159,analysis,build,high-branch-density,medium,inference,medium,AST branch proxy=13
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,190,191,analysis,aggregate,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,26,26,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVEYE_ROOT=/mnt/e/DATASET/eveye python3 build_4state_blink.py            # full, all users"
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,141,141,analysis,build,work-marker,low,fact,high,"todo = [(u, e, c) for u in users for e in EYES for c in SESSIONS"
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,144,144,analysis,build,work-marker,low,fact,high,"f""sessions to do={len(todo)}"")"
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,147,147,analysis,build,work-marker,low,fact,high,"for n, (u, e, c) in enumerate(todo, 1):"
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,154,154,analysis,build,work-marker,low,fact,high,"print(f""  {n}/{len(todo)} sessions ({time.time()-t0:.0f}s)"")"
algorithm/analysis/data-distribution/handover-v1/04_code/build_excel.py,2,2,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,9,9,analysis,<module>,hard-coded-absolute-path,high,fact,high,"MT=os.environ.get(""MT_CODES"",""/sessions/busy-happy-newton/mnt/DATASET/codes"")"
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,12,12,analysis,<module>,hard-coded-absolute-path,high,fact,high,"PS=os.path.join(os.environ.get(""EVEYE_ROOT"",""/sessions/busy-happy-newton/mnt/eveye""),""DeanDataset_full_unet"",""progress_state.json"")"
algorithm/analysis/data-distribution/handover-v1/04_code/build_persubject_tables.py,88,88,analysis,<module>,hard-coded-absolute-path,high,fact,high,"print(""\n(1) All-row:\n"", t1[t1.subject=='All'].to_string(index=False))"
algorithm/analysis/data-distribution/handover-v1/04_code/build_persubject_tables.py,89,89,analysis,<module>,hard-coded-absolute-path,high,fact,high,"print(""\n(2) counts head:\n"", t2.head(4).to_string(index=False))"
algorithm/analysis/data-distribution/handover-v1/04_code/build_sec5.py,20,20,analysis,<module>,bare-except,high,fact,high,bare except catches BaseException
algorithm/analysis/data-distribution/handover-v1/04_code/build_sec5.py,30,30,analysis,<module>,bare-except,high,fact,high,bare except catches BaseException
algorithm/analysis/data-distribution/handover-v1/04_code/build_splits_4state.py,27,27,analysis,<module>,hard-coded-absolute-path,high,fact,high,"ps=json.load(open(""/sessions/busy-happy-newton/mnt/DATASET/eveye/DeanDataset_full_unet/progress_state.json""))"
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,91,92,analysis,load_gt_ellipses,broad-except,medium,fact,high,catches Exception
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,18,18,analysis,<module>,hard-coded-absolute-path,high,fact,high,"EVEYE_ROOT = os.environ.get(""EVEYE_ROOT"", ""/sessions/busy-happy-newton/mnt/eveye"")"
algorithm/analysis/data-distribution/handover-v1/04_code/event_4state.py,4,4,analysis,<module>,hard-coded-absolute-path,high,fact,high,"DD=""/sessions/busy-happy-newton/mnt/DATASET/codes/data-distribution"""
