run_id,experiment_id,variant,variant_id,solution,module,status,source_type,recorded_utc,top_model,xml_path,csynth_exists,csim_log,csim_exists,target_clock_ns,estimated_clock_ns,latency_best_cycles,latency_avg_cycles,latency_worst_cycles,interval_min_cycles,interval_max_cycles,bram_18k,dsp,ff,lut,uram,bram_18k_available,dsp_available,ff_available,lut_available,uram_available,bram_18k_pct,dsp_pct,ff_pct,lut_pct,uram_pct,latency_worst_ms_at_target,deterministic_latency
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.744,71316968,71316968,71316968,71316969,71316969,298,332,43804,81168,64,624,1728,460800,230400,96,47.756410256410255,19.212962962962962,9.50607638888889,35.229166666666664,66.66666666666667,356.58484,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par16_c3_mem8,hgtxr_e2e_axis_par16_c3_mem8,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par16_c3_mem8/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.697,48598922,48598922,48598922,48598923,48598923,292,604,56966,113124,64,624,1728,460800,230400,96,46.794871794871796,34.9537037037037,12.362413194444445,49.098958333333336,66.66666666666667,242.99461,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par16_c3b_mem16,hgtxr_e2e_axis_par16_c3b_mem16,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par16_c3b_mem16/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.953,37508072,37508072,37508072,37508073,37508073,332,604,59505,126506,64,624,1728,460800,230400,96,53.205128205128204,34.9537037037037,12.913411458333334,54.90711805555556,66.66666666666667,187.54036,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par16_c3b_mem16_hls,hgtxr_e2e_axis_par16_c3b_mem16_hls,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par16_c3b_mem16_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.953,37508072,37508072,37508072,37508073,37508073,332,604,59505,126506,64,624,1728,460800,230400,96,53.205128205128204,34.9537037037037,12.913411458333334,54.90711805555556,66.66666666666667,187.54036,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par16_hls,hgtxr_e2e_axis_par16_hls,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par16_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.953,37508072,37508072,37508072,37508073,37508073,338,604,59507,127916,64,624,1728,460800,230400,96,54.166666666666664,34.9537037037037,12.91384548611111,55.51909722222222,66.66666666666667,187.54036,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par32_dsp_mixed_mem16_no_board,hgtxr_e2e_axis_par32_dsp_mixed_mem16_no_board,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par32_dsp_mixed_mem16_no_board/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.697,26139644,26139644,26139644,26139645,26139645,204,1148,85947,193546,112,624,1728,460800,230400,96,32.69230769230769,66.43518518518519,18.651692708333332,84.00434027777777,116.66666666666667,130.69822,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par32_dsp_mixed_stream_mem16_no_board,hgtxr_e2e_axis_par32_dsp_mixed_stream_mem16_no_board,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par32_dsp_mixed_stream_mem16_no_board/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.697,26139644,26139644,26139644,26139645,26139645,332,1148,85947,193546,64,624,1728,460800,230400,96,53.205128205128204,66.43518518518519,18.651692708333332,84.00434027777777,66.66666666666667,130.69822,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_par32_dsp_uram_mem16_no_board,hgtxr_e2e_axis_par32_dsp_uram_mem16_no_board,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_par32_dsp_uram_mem16_no_board/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.697,26139644,26139644,26139644,26139645,26139645,124,1148,85947,193546,160,624,1728,460800,230400,96,19.871794871794872,66.43518518518519,18.651692708333332,84.00434027777777,166.66666666666666,130.69822,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_vref_p0_softmax_input_x2_csynth,hgtxr_e2e_axis_vref_p0_softmax_input_x2_csynth,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_vref_p0_softmax_input_x2_csynth/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,4.069,498485,498485,498485,498486,498486,64,128,19664,43236,88,624,1728,460800,230400,96,10.256410256410257,7.407407407407407,4.267361111111111,18.765625,91.66666666666667,2.492425,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_csynth,hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_csynth,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_csynth/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,4.069,498485,498485,498485,498486,498486,144,128,19664,43236,32,624,1728,460800,230400,96,23.076923076923077,7.407407407407407,4.267361111111111,18.765625,33.333333333333336,2.492425,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_ip,hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_ip,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_vref_p0_softmax_input_x2_dsp_mixed_stream_ip/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,4.069,498485,498485,498485,498486,498486,144,128,19664,43236,32,624,1728,460800,230400,96,23.076923076923077,7.407407407407407,4.267361111111111,18.765625,33.333333333333336,2.492425,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_csynth,hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_csynth,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_csynth/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,4.069,498485,498485,498485,498486,498486,114,128,19664,43236,40,624,1728,460800,230400,96,18.26923076923077,7.407407407407407,4.267361111111111,18.765625,41.666666666666664,2.492425,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_ip,hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_ip,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:48:56.930853+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_vref_p0_softmax_input_x2_qkv_uram_ip/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,4.069,498485,498485,498485,498486,498486,114,128,19664,43236,40,624,1728,460800,230400,96,18.26923076923077,7.407407407407407,4.267361111111111,18.765625,41.666666666666664,2.492425,True
