run_id,solution,params,report,target_ns,estimated_ns,estimated_fmax_mhz,latency_min_cycles,latency_max_cycles,latency_min_abs,latency_max_abs,bram_18k,dsp,ff,lut,uram,bram_pct,dsp_pct,ff_pct,lut_pct,uram_pct,status
default_scaffold,solution,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=0,hardware/generated/hgtxr_hls/solution/syn/report/hgtxr_top_csynth.rpt,5.00,10.279,97.29,10838981,10900565,0.111 sec,0.112 sec,283,81,21057,26399,0,45,4,4,11,0,csynth_passed
cyclic_s0,solution_cyclic_s0,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; hardware/configs/zcu104_cyclic_s0_defines.h; active_token_specialized=search64_track16,hardware/generated/hgtxr_hls/solution_cyclic_s0/syn/report/hgtxr_top_csynth.rpt,5.00,3.745,267.02,15023573,15023573,75.118 ms,75.118 ms,263,42,23397,38752,0,42,2,5,16,0,csynth_passed
cyclic_s1_weight,solution_cyclic_s1_weight,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; hardware/configs/zcu104_cyclic_s1_weight_defines.h,hardware/generated/hgtxr_hls/solution_cyclic_s1_weight/syn/report/hgtxr_top_csynth.rpt,5.00,4.462,224.11,15061541,15061541,75.308 ms,75.308 ms,279,42,30626,54216,0,44,2,6,23,0,csynth_passed
cyclic_s2_first_step,solution_cyclic_s2_first_step,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_FIRST_STEP=1; hardware/configs/zcu104_cyclic_s2_first_step_defines.h; WO channel-pair accumulation only,hardware/generated/hgtxr_hls/solution_cyclic_s2_first_step/syn/report/hgtxr_top_csynth.rpt,5.00,3.650,273.97,12173567,12506639,60.868 ms,62.533 ms,211,22,10935,17997,0,33,1,2,7,0,csynth_passed_first_step_wo_only
cyclic_s2_qkv_first_step,solution_cyclic_s2_qkv_first_step,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_QKV_FIRST_STEP=1; hardware/configs/zcu104_cyclic_s2_qkv_first_step_defines.h; QKV channel-pair accumulation only,hardware/generated/hgtxr_hls/solution_cyclic_s2_qkv_first_step/syn/report/hgtxr_top_csynth.rpt,5.00,3.650,273.97,34770191,35769407,0.174 sec,0.179 sec,215,22,11373,19205,0,34,1,2,8,0,csynth_passed_first_step_qkv_only
cyclic_s2_attn_first_step,solution_cyclic_s2_attn_first_step,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_ATTN_FIRST_STEP=1; hardware/configs/zcu104_cyclic_s2_attn_first_step_defines.h; QKV attention WO channel-pair first-step only,hardware/generated/hgtxr_hls/solution_cyclic_s2_attn_first_step/syn/report/hgtxr_top_csynth.rpt,5.00,3.745,267.02,48980449,50312737,0.245 sec,0.252 sec,245,36,24954,38796,0,39,2,5,16,0,csynth_passed_first_step_attention_only
cyclic_s2_mlp_first_step,solution_cyclic_s2_mlp_first_step,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_MLP_FIRST_STEP=1; hardware/configs/zcu104_cyclic_s2_mlp_first_step_defines.h; MLP hidden-pair W1/W2 mlp_ratio=4 first-step only,hardware/generated/hgtxr_hls/solution_cyclic_s2_mlp_first_step/syn/report/hgtxr_top_csynth.rpt,5.00,3.650,273.97,92490625,95155201,0.462 sec,0.476 sec,243,30,12850,23170,0,38,1,2,10,0,csynth_passed_first_step_mlp_only
cyclic_s2_block_first_step,solution_cyclic_s2_block_first_step,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_BLOCK_FIRST_STEP=1; HGTXR_ENABLE_CYCLIC_S2_BLOCK_PRE_LN=1; hardware/configs/zcu104_cyclic_s2_block_first_step_defines.h; pre-norm residual attention MLP fused first-step,hardware/generated/hgtxr_hls/solution_cyclic_s2_block_first_step/syn/report/hgtxr_top_csynth.rpt,5.00,3.745,267.02,141665735,145662599,0.708 sec,0.728 sec,319,88,32701,59141,0,51,5,7,25,0,csynth_passed_first_step_block_preln_validated_piecewise_rsqrt
cyclic_s2_block_q4w8a,solution_cyclic_s2_block_q4w8a,HGTXR_ENABLE_CYCLIC_TRANSFORMER_TOP=1; HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_ENABLE_CYCLIC_S2_BLOCK_FIRST_STEP=1; HGTXR_ENABLE_CYCLIC_S2_BLOCK_PRE_LN=1; HGTXR_BIT_WIDTH=8; HGTXR_WEIGHT_BIT_WIDTH=4; HGTXR_WEIGHT_INT_WIDTH=2; hardware/configs/zcu104_cyclic_s2_block_q4w8a_defines.h; pre-norm residual attention MLP fused first-step Q4W/Q8A,hardware/generated/hgtxr_hls/solution_cyclic_s2_block_q4w8a/syn/report/hgtxr_top_csynth.rpt,5.00,3.745,267.02,141665730,145662594,0.708 sec,0.728 sec,211,76,31674,57932,0,33,4,6,25,0,csynth_passed_q4w8a_block_preln
e2e_q4w8a_axis_shell,solution_e2e_q4w8a,HGTXR_ENABLE_CYCLIC_WEIGHT_PORTS=1; HGTXR_BIT_WIDTH=8; HGTXR_WEIGHT_BIT_WIDTH=4; HGTXR_BUS_WIDTH=128; hardware/configs/zcu104_e2e_q4w8a_defines.h; AXI-Stream DMA shell conv patch global buffer ATTN0 MLP0 ATTN1 MLP1 controller MLP head,hardware/generated/hgtxr_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.rpt,5.00,3.650,273.97,1610485,1610491,8.052 ms,8.052 ms,52,18,3798,6411,0,8,1,~0,2,0,csynth_passed_e2e_axis_shell_weight_axi_live
