run_id,experiment_id,variant,variant_id,solution,module,status,source_type,recorded_utc,top_model,xml_path,csynth_exists,csim_log,csim_exists,target_clock_ns,estimated_clock_ns,latency_best_cycles,latency_avg_cycles,latency_worst_cycles,interval_min_cycles,interval_max_cycles,bram_18k,dsp,ff,lut,uram,bram_18k_available,dsp_available,ff_available,lut_available,uram_available,bram_18k_pct,dsp_pct,ff_pct,lut_pct,uram_pct,latency_worst_ms_at_target,deterministic_latency
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_axis_read_frame,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_axis_read_frame,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_axis_read_frame_csynth.xml,True,,False,5.0,2.29,65538,65538,65538,65538,65538,0,0,19,87,0,624,1728,460800,230400,96,0.0,0.0,0.004123263888888889,0.037760416666666664,0.0,0.32769,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_axis_write_state,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_axis_write_state,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_axis_write_state_csynth.xml,True,,False,5.0,1.527,8,8,8,8,8,0,0,7,81,0,624,1728,460800,230400,96,0.0,0.0,0.0015190972222222222,0.03515625,0.0,4e-05,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_conv_patch_embedding_Pipeline_VITIS_LOOP_626_1_VITIS_LOOP_628_2,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_conv_patch_embedding_Pipeline_VITIS_LOOP_626_1_VITIS_LOOP_628_2,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_conv_patch_embedding_Pipeline_VITIS_LOOP_626_1_VITIS_LOOP_628_2_csynth.xml,True,,False,5.0,3.235,49154,49154,49154,49154,49154,0,0,36,190,0,624,1728,460800,230400,96,0.0,0.0,0.0078125,0.08246527777777778,0.0,0.24577,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_conv_patch_embedding,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_conv_patch_embedding,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_conv_patch_embedding_csynth.xml,True,,False,5.0,3.235,87208,87208,87208,87208,87208,0,0,83,844,0,624,1728,460800,230400,96,0.0,0.0,0.018012152777777776,0.3663194444444444,0.0,0.43604,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1006_9,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1006_9,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1006_9_csynth.xml,True,,False,5.0,2.146,230,230,230,230,230,0,0,2149,1597,0,624,1728,460800,230400,96,0.0,0.0,0.4663628472222222,0.6931423611111112,0.0,0.00115,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1013_10_VITIS_LOOP_1021_12,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1013_10_VITIS_LOOP_1021_12,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_1013_10_VITIS_LOOP_1021_12_csynth.xml,True,,False,5.0,3.744,1572,1572,1572,1572,1572,0,16,952,1161,0,624,1728,460800,230400,96,0.0,0.9259259259259259,0.2065972222222222,0.50390625,0.0,0.00786,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_933_3_VITIS_LOOP_941_5,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_933_3_VITIS_LOOP_941_5,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_933_3_VITIS_LOOP_941_5_csynth.xml,True,,False,5.0,3.646,1573,1573,1573,1573,1573,0,16,1122,1538,0,624,1728,460800,230400,96,0.0,0.9259259259259259,0.24348958333333334,0.6675347222222222,0.0,0.007865,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_995_8,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_995_8,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attention_core_Pipeline_VITIS_LOOP_995_8_csynth.xml,True,,False,5.0,3.443,201,201,201,201,201,0,0,221,450,0,624,1728,460800,230400,96,0.0,0.0,0.04796006944444445,0.1953125,0.0,0.001005,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attention_core,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attention_core,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attention_core_csynth.xml,True,,False,5.0,3.744,2107981,2107981,2107981,2107981,2107981,0,32,4561,5185,0,624,1728,460800,230400,96,0.0,1.8518518518518519,0.9898003472222222,2.2504340277777777,0.0,10.539905,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attn_unit_0_s,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attn_unit_0_s,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attn_unit_0_s_csynth.xml,True,,False,5.0,3.744,4109376,4109376,4109376,4109376,4109376,48,111,12449,22655,0,624,1728,460800,230400,96,7.6923076923076925,6.423611111111111,2.7016059027777777,9.832899305555555,0.0,20.54688,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_attn_unit_1_s,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_attn_unit_1_s,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_attn_unit_1_s_csynth.xml,True,,False,5.0,3.744,4109376,4109376,4109376,4109376,4109376,48,111,12449,22655,0,624,1728,460800,230400,96,7.6923076923076925,6.423611111111111,2.7016059027777777,9.832899305555555,0.0,20.54688,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_axis_top,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_axis_top,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_axis_top_csynth.xml,True,,False,5.0,3.744,71316968,71316968,71316968,71316969,71316969,298,332,43804,81168,64,624,1728,460800,230400,96,47.756410256410255,19.212962962962962,9.50607638888889,35.229166666666664,66.66666666666667,356.58484,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_controller_run,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_controller_run,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_controller_run_csynth.xml,True,,False,5.0,3.744,71104885,71104885,71104885,71104885,71104885,224,316,39341,73186,64,624,1728,460800,230400,96,35.8974358974359,18.287037037037038,8.537543402777779,31.764756944444443,66.66666666666667,355.524425,True
p0_no_board_report_collection_2026_06_26,NB-P0-00,hgtxr_e2e_axis_hls,hgtxr_e2e_axis_hls,solution_e2e_q4w8a,hgtxr_e2e_layernorm_Pipeline_VITIS_LOOP_761_1,parsed,hls_csynth_xml,2026-06-26T16:40:46.296773+00:00,hgtxr_e2e_layernorm_Pipeline_VITIS_LOOP_761_1,generated/hgtxr_e2e_axis_hls/solution_e2e_q4w8a/syn/report/hgtxr_e2e_layernorm_Pipeline_VITIS_LOOP_761_1_csynth.xml,True,,False,5.0,3.65,16,16,16,16,16,0,0,1816,416,0,624,1728,460800,230400,96,0.0,0.0,0.3940972222222222,0.18055555555555555,0.0,8e-05,True
