archive_path,ext,decision,dest,reason
archive/migration-logs/=318.empty,.empty,skip,-,0바이트 셸 리다이렉트 잔해 (생사 대장 ❌)
archive/migration-logs/=332.empty,.empty,skip,-,0바이트 셸 리다이렉트 잔해 (생사 대장 ❌)
configs/quant_int8.yaml,.yaml,migrate,hardware/config/,보드·설계 파라미터 · **참조 0건** (2026-07-30 조사) — 미사용 후보. 판정은 M3(vivado tcl 이관) 이후
configs/sweeps/zcu104_cyclic_transformer_sweep.yaml,.yaml,migrate,hardware/config/,보드·설계 파라미터
configs/vck190.yaml,.yaml,migrate,hardware/config/,보드·설계 파라미터 · **참조 0건** (2026-07-30 조사) — 미사용 후보. 판정은 M3(vivado tcl 이관) 이후
configs/vitis_hls.yaml,.yaml,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/designs/deit_tiny_cyclic_zcu104.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/designs/full_deit_tiny_fit.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/designs/hbtxr_cyclic_zcu104.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/designs/hbtxr_streaming_zcu104.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_deit_tiny_baseline_cyclic.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_full_deit_tiny_fit.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_a_cyclic.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_a_streaming.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_b_cyclic.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_b_streaming.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_c_cyclic.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/experiments/zcu104_hbtxr_option_c_streaming.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/models/deit_tiny_baseline.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/models/deit_tiny_baseline_cyclic.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/models/hbtxr_option_a.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/models/hbtxr_option_b.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/models/hbtxr_option_c.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/schema.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/xr_accel/targets/zcu104.json,.json,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104.yaml,.yaml,migrate,hardware/config/,보드·설계 파라미터 · **참조 0건** (2026-07-30 조사) — 미사용 후보. 판정은 M3(vivado tcl 이관) 이후
configs/zcu104_cyclic_s0_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s1_weight_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_attn_first_step_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_block_first_step_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_block_q4w8a_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_first_step_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_mlp_first_step_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_cyclic_s2_qkv_first_step_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
configs/zcu104_e2e_q4w8a_defines.h,.h,migrate,hardware/config/,보드·설계 파라미터
docs/analysis/no-board-results/MODE_PROFILE_RESULTS_2026_06_27.md,.md,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_mode_profile_2026_06_27/hls_modules.csv,.csv,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_mode_profile_2026_06_27/hls_modules.json,.json,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_mode_profile_2026_06_27/hls_top_variants.csv,.csv,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_mode_profile_2026_06_27/summary.md,.md,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/P0_PROGRESS_2026_06_26.md,.md,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_report_collection_2026_06_26/hls_modules.csv,.csv,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_report_collection_2026_06_26/hls_modules.json,.json,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_report_collection_2026_06_26/hls_top_variants.csv,.csv,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
docs/analysis/no-board-results/p0_report_collection_2026_06_26/summary.md,.md,done,hardware/docs/,이관 완료 (P0에서 데이터 11개 보완)
