path,zone,language,extension,bytes,git_blob,sha256,lines,code_lines,blank_lines,parse_status
hardware/README.md,docs,Markdown,.md,2984,23fe1fc6383543a17ad9809c36735c126f058970,2c1ba9a9affc647c7852be92cb74815572252eb01cae83b77fb7194151d75a87,64,46,12,text
hardware/archive/deprecated/.gitkeep,archive,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/archive/migration-logs/=318.empty,archive,Other,.empty,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,not-text
hardware/archive/migration-logs/=332.empty,archive,Other,.empty,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,not-text
hardware/archive/old-runs/.gitkeep,archive,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/artifacts/bitstreams/.gitkeep,artifact,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/artifacts/hwh/.gitkeep,artifact,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/artifacts/manifests/.gitkeep,artifact,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/artifacts/reports/.gitkeep,artifact,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/artifacts/smoke/.gitkeep,artifact,Other,<none>,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,text
hardware/configs/quant_int8.yaml,maintained,YAML,.yaml,129,6d0d47fbe2b74f5cf6df745d002f1e3273c3218a,b0c6e9657e8ac85d1726d9eeedff37dd2e9a55b126fcc08c86629ba3e7e06b42,7,6,1,text
hardware/configs/sweeps/zcu104_cyclic_transformer_sweep.yaml,maintained,YAML,.yaml,8556,9269217a96410739d8c96e4e4dfc84698cb0336b,ffccb367d661012b9c58d1d12f91d60117b2d420d706058c86b3d08cad107d65,225,213,12,text
hardware/configs/vck190.yaml,maintained,YAML,.yaml,109,6a4e86529ed19c3fb0b447d407aef05f3957c5d3,2183477e9dd02a84b7ca7a30478e95751e714385580991558d1b5cbbe2980e0a,5,4,1,text
hardware/configs/vitis_hls.yaml,maintained,YAML,.yaml,427,1898af8a2e598022f188d63d1de99f73b7c12e80,78ed6ee7bacdd2a129fdf5029e136c5466c96fb9cfa56ad1585821cb92f30821,23,22,1,text
hardware/configs/xr_accel/designs/deit_tiny_cyclic_zcu104.json,maintained,JSON,.json,995,0c19b67e8f6569672e90d20993645ea844820812,cf83d56d02d74ec2ab4f356e0e16d33e559fe7de84aa174d847f639edbf45e13,30,30,0,text
hardware/configs/xr_accel/designs/full_deit_tiny_fit.json,maintained,JSON,.json,447,db5a6fd49db2ce6745e0e93a34d8b0a59cef4958,17a17fe5169aca8ec942e2de989e9ba2b61813c4a42b814b3db5bec55658efb8,24,24,0,text
hardware/configs/xr_accel/designs/hbtxr_cyclic_zcu104.json,maintained,JSON,.json,573,17737c1ea175e8df3849ffcfd99439353229a8d2,f6a976e50e0173726c0d7dbcb7f229d3f96d41435d72c00d59fd0b906e26ec5d,23,23,0,text
hardware/configs/xr_accel/designs/hbtxr_streaming_zcu104.json,maintained,JSON,.json,627,130a0ac8f1c3772d38699e0ba8ee6a6c4a586d5f,c3965384edd0df890601083caadaf42b86eff4aa3ac49f7317f58d6c78e118b3,24,24,0,text
hardware/configs/xr_accel/experiments/zcu104_deit_tiny_baseline_cyclic.json,maintained,JSON,.json,453,aae97c3a87c3a95b60394679b7f3638d10f8dc19,a3d031554a764d3f72c674a4b83b06236ba6803c3f3095d7e354931dc3e31df6,22,22,0,text
hardware/configs/xr_accel/experiments/zcu104_full_deit_tiny_fit.json,maintained,JSON,.json,193,c583511d3e52ac1935603e826cdcc7cd8c5633e0,72277097b5e2c4a116cfed5c7a833f80da00d50237149706462c37406eb3033c,6,6,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_a_cyclic.json,maintained,JSON,.json,471,a78f6775288a7574e92e886e9432ebf7fff7e379,c45fbdd767a76de1bfead75a77fb4940d76a8bf28f19f84d83c3f582d4e8448c,23,23,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_a_streaming.json,maintained,JSON,.json,440,b4ee4094284d3952e345b9bce7fc518e48d52ae7,78637d196dac9f403a94d9ba27a63268e8a0580b191e02632eab8d55c153115d,22,22,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_b_cyclic.json,maintained,JSON,.json,434,ca772568cac267ed2b191357dfb73dab26bf1af1,baab6ad2a7e84bf2c04d7cd1721f58fc7f9f3860e76de81b4b0e91f42027a0fa,22,22,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_b_streaming.json,maintained,JSON,.json,440,a77ed575c3aff2514b8217604aaa98b091b675a8,f666ee266d3a2ae56414dc979c72de50dbb7eb958812199bf90ee113e6ea692d,22,22,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_c_cyclic.json,maintained,JSON,.json,434,cf534557c8639df89d5d5b4c3dd52e2029874cd1,c600222ddbf80e5ff7de472e87370be537c82567d5fdacf64084802fe1cb53a4,22,22,0,text
hardware/configs/xr_accel/experiments/zcu104_hbtxr_option_c_streaming.json,maintained,JSON,.json,440,747965108bda773d975a0690268799cafdc3c1f6,ba625fa63279b8ca8a37ce36c391ea523a4f4c16e097377d3002a6076d023392,22,22,0,text
hardware/configs/xr_accel/models/deit_tiny_baseline.json,maintained,JSON,.json,593,04834527f29f8f4ea5ac21ec16d832a5364b230e,3859f602c94908664196e2b69c5d328857011e14981f8ee8ae2163944d69c83d,38,38,0,text
hardware/configs/xr_accel/models/deit_tiny_baseline_cyclic.json,maintained,JSON,.json,202,0bd25ba60c6e2f09d289fc3e88762d115647abf6,fce5688d05a7552febe83df5fc41c7596d8410a1d74a8e1cf6d7118eaa946516,8,8,0,text
hardware/configs/xr_accel/models/hbtxr_option_a.json,maintained,JSON,.json,706,2567fa0cbac820dd47ed45730c5b2accdba9552c,839fb884d708a3077a68d2d9232c728255b073970fc93f098702a3fcbeb64e8e,41,41,0,text
hardware/configs/xr_accel/models/hbtxr_option_b.json,maintained,JSON,.json,705,0f5ff68aeed96da35a431e9b47173a41e8ed2998,ec9fb4b3a0bed10ddce2822a05c4b17457c0363a1c99ad9ca44333b3099e95da,41,41,0,text
hardware/configs/xr_accel/models/hbtxr_option_c.json,maintained,JSON,.json,705,e70e64d10948c249676eb0fcd879996d3d425c30,941d7f90c8920d8de5f7098f603c6200c9902545f35b8f29564db6cf5f197a8b,41,41,0,text
hardware/configs/xr_accel/schema.json,maintained,JSON,.json,4150,2eef6586bd4b8148bb9c9e31f59289e72b305804,8b9973e9450b625a5af8a405aa2cceba52e9991f8bd70f3c06b9c7b16a797f6a,126,126,0,text
hardware/configs/xr_accel/targets/zcu104.json,maintained,JSON,.json,337,854d7a5c2ec8016f19dbc48e70d6eb0a79167f9a,3a3da7a2b99527c40f7736e8239c1344e5112d0ae0bf80e9228c13afe6d3bbb3,14,14,0,text
hardware/configs/zcu104.yaml,maintained,YAML,.yaml,104,2a3091a873114175921ae798ffde4be8df6700f9,436b9b5ea01719b9b40cb09013c9c1fa25137e3452be7aac847fd3b66b3ad74e,5,4,1,text
hardware/configs/zcu104_cyclic_s0_defines.h,maintained,C/C++ Header,.h,279,e55f6c6bc952cef40ff0ca863d6d17ea2813383a,889289d86c6a006cb8d4742dd0523433d63615708eb5979de7c6895835ddf80d,11,0,2,text
hardware/configs/zcu104_cyclic_s1_weight_defines.h,maintained,C/C++ Header,.h,658,6de236e3a6c42f603bd85292f5ab5ee356081f49,27f2a0b6aa3a44cf0a5dcd5fdd6829f2be243404dd507011d591c2d76a3973b6,16,0,2,text
hardware/configs/zcu104_cyclic_s2_attn_first_step_defines.h,maintained,C/C++ Header,.h,974,2d7c94651fdaff9c6b320e5bffca76a057bf1c7d,8eb814ec91e3b6986897b863dd7cfbc12061607199ddea891a81130f59b0e23e,23,0,2,text
hardware/configs/zcu104_cyclic_s2_block_first_step_defines.h,maintained,C/C++ Header,.h,1133,0645aed76f8c67507fa6d5dd76585be4e7b9d037,5791c7fe43d666e854f132f60c0d3c0fbd69e015c960c134390afedcfd8ca03d,27,0,2,text
hardware/configs/zcu104_cyclic_s2_block_q4w8a_defines.h,maintained,C/C++ Header,.h,1126,50f66dbaa6e25792b5520bb2bb4e847bab759e1a,89cc9f7f233405c5934aa29e5f1356d4d8bc571dbaabb9ae5a30e5435de994af,27,0,2,text
hardware/configs/zcu104_cyclic_s2_first_step_defines.h,maintained,C/C++ Header,.h,746,f1263ad27ba48ab224650ee8a0278a8d55811ca6,5f60c11a03310777021b663c5b770f7e5c1033a5d3722f72a91fd01bb5425650,18,0,2,text
hardware/configs/zcu104_cyclic_s2_mlp_first_step_defines.h,maintained,C/C++ Header,.h,796,ef25ca43975a81048114b6d6ce1209dc773f62ff,5fefca04773028f7b4f065190050cad1a05a9830d7a639b24a59ff964e0dcfd2,19,0,2,text
hardware/configs/zcu104_cyclic_s2_qkv_first_step_defines.h,maintained,C/C++ Header,.h,751,ae751c3355b094728ff688aad42f1a16dbe0b8b8,1407346a3567445bda48ec7c056afa1b03f66813dfcbebda024b7dc564ff745d,18,0,2,text
