path,zone,kind,qualname,name,start_line,end_line,loc,statement_count,branch_count,parameter_count,decorator_count,has_docstring,calls,semantic_hash
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,class,E2EAxisDmaRuntimeConfig,E2EAxisDmaRuntimeConfig,27,35,9,9,0,0,1,False,,
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,class,HgtxrE2EAxisDmaOverlay,HgtxrE2EAxisDmaOverlay,38,278,241,174,43,0,0,False,,
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay.__init__,__init__,39,50,12,12,4,2,0,False,E2EAxisDmaRuntimeConfig;Overlay;Path;RuntimeError;_find_ip;exists;getattr;hasattr;parse_registers_from_hwh;self._find_dma;str,3d5860e81d9daa410f0d
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay._find_dma,_find_dma,52,60,9,9,4,2,0,False,RuntimeError;attr.endswith;getattr;hasattr;key.endswith;key.replace,45c9d8b04805bc2b4588
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay.close,close,62,66,5,5,2,1,0,False,buf.free;hasattr;self.buffers.clear,54c48329258f947612fd
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay._free_buffers_since,_free_buffers_since,68,73,6,6,2,2,0,False,buf.free;hasattr,d37f501148ecbb99026e
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay.__enter__,__enter__,75,76,2,2,0,1,0,False,,3b707c35a2b1865d00c9
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay.__exit__,__exit__,78,80,3,3,0,2,0,False,self.close,65496e63f38c586f91df
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay._phys,_phys,83,88,6,6,2,1,1,False,hasattr;int,58ee4fcc2fe158d3575d
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,function,HgtxrE2EAxisDmaOverlay._alloc_axis_frame,_alloc_axis_frame,90,103,14,13,2,2,0,False,allocate;arr.astype;arr.reshape;astype;int;np.asarray;np.clip;np.issubdtype;np.rint;raw.reshape;self.buffers.append,41d8bd43f683586f5c72
